1. Opportunity Name,2. Region,3. County,4. Location,5. Type,6. Ensemble (if app.),7. Genre,8. Age,9. Level,10. Instruments,11. Other Tags,12. Cost,13. About Opportunity,14. When,15. Opportunity Website / Signup,16. Organisation Name,17. About Organisation,18. Organisation Website,19. Only for London/Local?,20. Extra Notes
Dads Rock (Southmead) - 8 Week Group,South West,Bristol,"Greenway Centre, Doncaster Road, Southmead, Bristol, BS10 5PY - UK",Workshop,,Early Years,Under 2,All ABilities,,"Early Years, Free",Free,"February 28 @ 10:00 - 11:30
Free
If you are a Bristol City Council Resident, join Evolve Music’s Southmead Dads Rock group for dads or male caregivers and children under 2!

Unleash your child’s potential with music! Develop emotional control, language, math skills & creativity through play.

STARTS: Saturday 24th January 2026

ENDS: Saturday 28th March 2026

FREQUENCY: Weekly*, Saturday mornings 10am – 11.30am

VENUE: Greenway Centre, Doncaster Road, Southmead, Bristol, BS10 5PY

Discover how child-led musical play helps with developing baby and toddler’s managing big emotions, powerful communication skills, a love of language, a foundation in numbers and their inner rockstar.

Dads Rock (it’s not just a saying, it’s a movement!) is also a chance to build a community with other Dads and share your parenting adventure and musical experiences.

The group is an 8-week adventure and is absolutely free to join. It is made possible through Bristol Family Hubs and you will need to be a Bristol City Council resident to access sessions.

Southmead Dads Rock starts on 24th January and runs until the 28th March (there are no sessions taking place on 14th February or 14th March). Ideally Dads/male caregivers will join the musical revolution for the January start but this is not mandatory, so please do get in contact with us if you can only start after this date.

DATES: Session dates are Saturday mornings 10am – 11.30am

24th January
31st January
7th February
21st February
28th February
7th March
21st March
28th March
*Please note there are no sessions running on 14th February or 14th March.

BOOKING INFO: https://www.eventbrite.co.uk/e/southmead-dads-rock-8-week-group-january-2026-tickets-1978286666674?aff=oddtdtcreator

Contact Emma if you would like further information about the group before signing up – emma@evolvemusic.org.uk","Saturdays 10:00 - 11:30 (8 - week length) 
(until 21st march)",https://evolvemusic.org.uk/whats-on/month/,Evolve Music,,,Local Only,
Bracknell Saxophone Ensemble,South East,Berkshire,Bracknell Music Centre - UK,Ensemble,Woodwind Ensemble,Orchestral,Chamber Groups,,Saxophone,,£91 per term (£82 for students),,Thursdays 18:00 - 18:45,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf
Recorder Rookies - Maidenhead,South East,Berkshire,"Space to Thrive, Maidenhead - UK",Ensemble,Woodwind Ensemble,Orchestral,Year 1 - Year 2,Beginner,Recorder,"Free, No Experience",Free,This will be free for Year 1/Year 2 Mini Maestros students and is aimed at students who have never played a recorder before.,Saturdays 11:00 - 11:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Windsor Out of the Attic Wind Band,South East,Berkshire,Windsor Music Centre - UK,Ensemble,Wind Band,Orchestral,18 +,Grade 5+,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Percussion, Euphonium","Grade 5, Grade 6 , Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"Out of the Attic is a friendly, inclusive orchestra for adults. Our name was given by our founding members, many of whom were returning to playing music after a long break and were getting their instruments back 'Out of the Attic'. This ensemble is suited to any wind, brass or percussion players in of roughly grade 5 standard or above. We are always pleased to welcome new members so please do get in touch if you would like to join.",Wednesdays 18:30 - 19:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
RMC @ River Academy - Initial Wind Band,South East,Berkshire,"River Academy, 7 Richfield Avenue, Reading, RG1 8EQ - UK",Ensemble,Wind Band,Orchestral,All Ages,Grade 1-3,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Percussion, Euphonium","Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"An exciting group for students who have just started to play a Wind, Brass or Percussion instrument and learn more about music.",Tuesdays 17:30 - 18:30,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
RMC @ River Academy - Let's Play Band,South East,Berkshire,"River Academy, 7 Richfield Avenue, Reading, RG1 8EQ - UK",Ensemble,Concert Band,Orchestral,All Ages,5 notes to Grade 1,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium","Preparatory, Grade 1",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"An exciting, inclusive group for all beginner brass and woodwind students to play together and learn more about music.",Tuesdays 16:30 - 17:15,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
RMC @ River Academy - Initial Guitar Ensemble,South East,Berkshire,"River Academy, 7 Richfield Avenue, Reading, RG1 8EQ - UK",Ensemble,Guitar Group,Orchestral,All Ages,Grade 1 -3 ,Guitar,"Grade 1, Grade 2, Grade 3",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,A fun and friendly opportunity for guitar players to come together to make music.,Thursdays 17:50 - 18:50,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Let's Play Orchestra - Maidenhead,South East,Berkshire,"Space to Thrive, Maidenhead - UK",Ensemble,Orchestra,Orchestral,All Ages,5 notes to Grade 1,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Harp, Violin, Viola, Cello, Double Bass, Euphonium","Preparatory, Grade 1",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"An exciting, inclusive group for all beginner strings, woodwind and brass students to play together and learn more about music",Saturdays 10:15 - 11:00,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Reading Soundstage,South East,Berkshire,"Reading Music Centre, Reading - UK",Workshop,Rock Band,Rock,All Ages,"All Abilities (Electric Guitar, Bass Guitar, Keys, Drums, Singers)","Guitar, Bass Guitar, Piano/Keys, Singing, Songwriting, Composing","Preparatory, Grade 1, Grade 2, Grade 3, Grade 4, Grade 5, Grade 6, Grade 7, Grade 8",https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"Soundstage is an electric band workshop where you'll learn to play a range of classic and current tracks from your favourite bands and artists, or even showcase your own song writing. Genres covered could be rock and pop, to video game music and beyond! Suitable for electric guitarists, bass guitarists, drummers, keys players and singers of all abilities.","Saturdays 13:00 - 14:00, 14:00 - 15:00",https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
Berkshire Youth Wind Orchestra,South East,Berkshire,Berkshire - UK,Ensemble,Wind Band,Orchestral,All Ages,Grade 8+,"Piccolo/Flute, Clarinet, Oboe, Cor Anglais, Bassoon, Trumpet, Trombone, Tuba, Horns, Euphonium",Grade 8,https://www.berksmusictrust.org.uk/wp-content/uploads/2025/07/Fees-2025-26-FINAL-EXT.pdf,"Our newly formed wind orchestra is Berkshire Youth Wind Orchestra. Led by Musical Director John Watts, coordinated by Jessica Wilkins, BYWO is the culmination of a student’s orchestral learning, providing members with outstanding orchestral training together with musical, cultural and social experiences that are truly exceptional. BYWO meets three times per year, creating a structure similar to that of a professional orchestra, and performs at prestigious venues including the Royal Albert Hall and Birmingham Symphony Hall. There will be a yearly international tour. Previous tours have included Poland, Italy and Spain Access to BYWO is by annual audition only.",Three Times Per Year,https://www.berksmusictrust.org.uk/music/music-groups/ensembles/,Berkshire Music Trust,,https://www.berksmusictrust.org.uk,No Restriction,
